iter	Passed	Remaining
0	0	91
1	1	82
2	2	78
3	3	75
4	3	73
5	4	72
6	5	70
7	6	70
8	6	69
9	7	69
10	8	68
11	9	68
12	10	67
13	10	66
14	11	66
15	12	65
16	13	64
17	13	63
18	14	62
19	15	61
20	16	60
21	16	59
22	17	58
23	18	58
24	19	58
25	20	57
26	21	56
27	21	56
28	22	55
29	23	54
30	24	53
31	25	53
32	26	53
33	27	52
34	28	52
35	29	51
36	30	51
37	31	51
38	33	51
39	34	51
40	36	52
41	37	51
42	38	50
43	39	49
44	40	49
45	42	49
46	43	48
47	44	48
48	45	47
49	47	47
50	48	46
51	49	45
52	51	45
53	52	44
54	53	44
55	54	43
56	55	42
57	56	41
58	58	40
59	58	39
60	60	38
61	61	37
62	62	36
63	63	35
64	64	34
65	65	33
66	66	32
67	66	31
68	67	30
69	68	29
70	69	28
71	70	27
72	71	26
73	71	25
74	72	24
75	73	23
76	74	22
77	75	21
78	76	20
79	76	19
80	77	18
81	78	17
82	79	16
83	80	15
84	80	14
85	81	13
86	82	12
87	83	11
88	84	10
89	85	9
90	85	8
91	86	7
92	87	6
93	88	5
94	89	4
95	90	3
96	91	2
97	92	1
98	93	0
99	94	0
